"","a_unit_id","year","n_pell_totu","pct_pell_fstu","avg_pell_ft_fst","is_on","os_on","is_off","os_off","n_tot_uenroll","n_tot_fstu","pct_AIoAN","pct_AoNHoPI","pct_Asian","pct_NHoPI","pct_BoAA","pct_HoLAT","pct_wht","pct_unkn","pct_multi","pct_fem","incr.in.pell.represent.1yr","pct.incr_pell.represent.1yr","incr.in.pell.represent.2yr","pct.incr.pell.represent.2yr","incr.is.off.1yr","pct.incr.is.off.1yr","incr.is.off.2yr","pct.incr.is.off.2yr","incr.is.on.1yr","pct.incr.is.on.1yr","incr.is.on.2yr","pct.incr.is.on.2yr","incr.os.off.1yr","pct.incr.os.off.1yr","incr.os.off.2yr","pct.incr.os.off.2yr","incr.os.on.1yr","pct.incr.os.on.1yr","incr.os.on.2yr","pct.incr.os.on.2yr","incr.retention.1yr","pct.incr.ret.1yr","incr.retention.2yr","pct.incr.ret.2yr","ft_ret_rate"
"1",222178,2013,967,32,4222,41800,41800,41800,41800,3727,1030,0,1,1,0,8,11,69,2,3,58,9,39.1304347826087,6,23.0769230769231,1900,4.76190476190476,21687.5,107.830950901181,1900,4.76190476190476,3550,9.28104575163399,1900,4.76190476190476,16033,62.2229984088175,1900,4.76190476190476,3550,9.28104575163399,0,0,-43,-57.3333333333333,79
"2",138558,2013,1571,52,4397,17503,25171,13188,20856,3394,999,0,1,1,0,12,6,78,0,1,54,0,0,-3,-5.45454545454545,569,4.50907361914573,-6924.5,-34.4288377874456,953,5.7583081570997,5156,41.7591317729003,2103,11.2142057270837,-4911,-19.0592618465479,2487,10.9636748368894,6786,36.9105248844166,0,0,2,4,60
"3",108232,2013,4212,31,4443,37828,37828,36386,36386,10508,1027,0,7,7,0,6,8,25,20,2,58,1,3.33333333333333,-5,-13.8888888888889,950,2.6808894909132,1758,5.07681644911632,944,2.55937533890034,1626,4.49146455996906,950,2.6808894909132,1758,5.07681644911632,944,2.55937533890034,1626,4.49146455996906,0,0,-34,-52.3076923076923,71
"4",126182,2013,1182,56,4430,19691,30323,20391,31023,2284,527,1,2,1,0,7,26,56,5,3,56,5,9.80392156862745,2,3.7037037037037,1082,5.60360453674452,2155,11.8172844922132,1281,6.95817490494297,2454,14.2368161513024,746,2.46391650427717,2539,8.91377615503441,945,3.21669276329226,2838,10.325632162998,0,0,2,3.7037037037037,56
"5",188429,2013,1552,35,4053,47110,47110,47110,47110,5040,918,0,7,7,0,12,13,53,8,2,73,3,9.375,0,0,1910,4.22566371681416,5050,12.0066571564432,1910,4.22566371681416,3250,7.40994072047424,1910,4.22566371681416,5050,12.0066571564432,1910,4.22566371681416,3250,7.40994072047424,0,0,-46,-56.7901234567901,81
"6",188438,2013,1859,52,4195,17000,20774,16500,20274,4230,1087,0,1,1,0,2,3,90,2,1,57,2,4,2,4,1350,8.91089108910891,1505,10.0366788929643,-11890,-41.1561093804084,-10789,-38.8247148152147,1460,7.7601785904114,1723,9.28790900760067,-13771,-39.8639455782313,-12582.5,-37.7212837078231,0,0,-6,-10.3448275862069,63
"7",168528,2013,683,44,4170,42740,42740,38330,38330,1649,467,0,1,1,0,10,2,75,8,4,49,-6,-12,-3,-6.38297872340426,1827,5.00506807659644,18217.5,90.5779987569919,2241,5.53346996222129,4457,11.6422432933678,1827,5.00506807659644,12563,48.7561609810999,2241,5.53346996222129,4457,11.6422432933678,0,0,-26,-37.1428571428571,58
"8",133872,2013,737,58,3530,24584,24584,30050,30050,2160,59,0,6,6,0,15,21,47,9,2,78,-13,-18.3098591549296,-27,-31.7647058823529,1050,3.62068965517241,1800,6.3716814159292,1310,5.62859843602303,2060,9.14580003551767,1050,3.62068965517241,1800,6.3716814159292,1310,5.62859843602303,2060,9.14580003551767,0,0,-35,-37.6344086021505,71
"9",138600,2013,403,41,4394,47323,47323,39288,39288,915,252,0,4,4,0,33,9,31,4,6,99,-13,-24.0740740740741,-8,-16.3265306122449,1327,3.49569294802561,19175.5,95.3412057178372,1632,3.57181939550459,2978,6.71552598940129,1327,3.49569294802561,13521,52.4740947723833,1632,3.57181939550459,2978,6.71552598940129,0,0,-42,-50.6024096385542,83
"10",134811,2013,1744,64,4096,34486,34486,30892,30892,3167,494,0,0,0,0,3,46,5,45,0,60,5,8.47457627118644,-4,-5.88235294117647,-412,-1.31612573473039,-252,-0.809144618546108,875,2.60331439112195,1167,3.50250607761337,-412,-1.31612573473039,-252,-0.809144618546108,875,2.60331439112195,1167,3.50250607761337,0,0,8,14.2857142857143,54
"11",217615,2013,1450,66,4269,29319.5,35379,10613,16080,2583,514,1,1,1,0,33,3,60,1,1,64,4,6.45161290322581,5,8.19672131147541,-99,-0.92419716206124,81,0.769084694265097,429.5,1.48667358947733,1530.5,5.50757493972435,-530,-3.19084888621312,-500,-3.01568154402895,834,2.41424229266175,2022.5,6.06328601621873,0,0,12,22.2222222222222,48
"12",126207,2013,2034,63,4215,29319.5,35379,18055,25723,4955,663,1,1,1,0,2,31,62,2,2,57,7,12.5,6,10.5263157894737,17,0.0942454817607274,17,0.0942454817607274,429.5,1.48667358947733,1530.5,5.50757493972435,17,0.0661324204465883,17,0.0661324204465883,834,2.41424229266175,2022.5,6.06328601621873,0,0,4,6.77966101694915,54
"13",100654,2013,2980,80,4818,21849,27441,21849,27441,4051,1103,0,1,1,0,92,1,5,1,0,55,-1,-1.23456790123457,1,1.26582278481013,2773,14.5365904801845,5611,34.5547481216899,2773,14.5365904801845,4161,23.5244233378562,2773,11.2412842549051,5875,27.241954929055,2773,11.2412842549051,4425,19.225755995829,0,0,16,25,63
"14",100724,2013,3935,71,4670,18286,25222,20812,27748,5356,1545,0,0,0,0,91,1,3,1,1,61,-5,-6.57894736842105,-8,-10.126582278481,758,3.7797945547023,638,3.16248636859324,1605,9.62172531622804,694,3.9449749886312,1382,5.24159902905257,1262,4.76478139394397,2229,9.69425477319184,1318,5.51372155287818,0,0,17,31.4814814814815,62
"15",199786,2013,2180,61,4686,29319.5,35379,21019,26779,4161,587,1,2,1,0,21,8,63,4,2,64,-5,-7.57575757575758,-9,-12.8571428571429,2047,10.7895846510647,3013,16.733311118516,429.5,1.48667358947733,1530.5,5.50757493972435,1663,6.62127727345119,2629,10.8861283643892,834,2.41424229266175,2022.5,6.06328601621873,0,0,-2,-3.17460317460317,63
"16",188526,2013,248,26,4038,42800,42800,44660,44660,1078,243,0,14,14,0,4,4,64,4,1,60,0,0,0,0,1997,4.68087101235262,2948,7.06751054852321,1489,3.60436687565055,2932,7.35426908799037,1997,4.68087101235262,2948,7.06751054852321,1489,3.60436687565055,2932,7.35426908799037,0,0,-53,-67.0886075949367,81
"17",138716,2013,2625,80,4896,19590,31792,21688,33890,3660,520,0,0,0,0,89,1,7,3,0,68,-1,-1.23456790123457,-5,-5.88235294117647,1240,6.0641627543036,1236,6.04341873655388,400,2.08441896821261,748,3.96985458019319,1538,4.75395647873393,1824,5.68826794735857,698,2.24480607191098,1336,4.38665615970581,0,0,15,23.0769230769231,70
"18",138682,2013,3090,88,5063,29319.5,35379,9302,11342,3894,790,0,0,0,0,79,1,19,0,1,60,-4,-4.34782608695652,-8,-8.33333333333333,-190,-2.00168563000421,-20,-0.214546234713581,429.5,1.48667358947733,1530.5,5.50757493972435,-70,-0.613389414651244,220,1.97806149973026,834,2.41424229266175,2022.5,6.06328601621873,0,0,29,49.1525423728814,55
"19",128498,2013,564,46,4511,47302,47302,47086,47086,1278,143,0,1,1,0,27,12,45,13,1,67,3,6.97674418604651,-14,-23.3333333333333,390,0.835189309576837,2902,6.56798841209488,774,1.66351444291609,3654,8.37151759530792,390,0.835189309576837,2902,6.56798841209488,774,1.66351444291609,3654,8.37151759530792,0,0,-30,-39.4736842105263,93
"20",168546,2013,327,29,4200,48195,48195,48195,48195,1307,346,0,2,2,0,3,3,80,5,3,49,5,20.8333333333333,0,0,2311,5.03661407026414,28082.5,139.627097576134,2311,5.03661407026414,4273,9.72860980829653,2311,5.03661407026414,22428,87.041564792176,2311,5.03661407026414,4273,9.72860980829653,0,0,-55,-65.4761904761905,81
"21",210571,2013,1083,50,4401,49160,49160,48360,48360,2349,655,1,3,3,0,16,9,62,6,1,58,0,0,0,0,1340,2.84985112717992,2670,5.84372948128693,1770,3.73496518252796,3470,7.59465966294594,1340,2.84985112717992,2670,5.84372948128693,1770,3.73496518252796,3470,7.59465966294594,0,0,-24,-32.4324324324324,71
"22",175342,2013,2414,71,4944,20984,20984,22440,22440,3157,574,0,0,0,0,93,0,4,0,1,67,4,5.97014925373134,16,29.0909090909091,850,3.93700787401575,1817,8.81055132618921,845,4.19583891950941,1795,9.35431757777894,850,3.93700787401575,1817,8.81055132618921,845,4.19583891950941,1795,9.35431757777894,0,0,4,5.97014925373134,68
"23",172918,2013,789,45,3689,29319.5,35379,18885,18885,2845,555,0,0,0,0,1,2,89,4,2,48,-2,-4.25531914893617,-3,-6.25,7,0.0370801991736413,216,1.15699823236381,429.5,1.48667358947733,1530.5,5.50757493972435,7,0.0370801991736413,216,1.15699823236381,834,2.41424229266175,2022.5,6.06328601621873,0,0,-24,-34.7826086956522,76
"24",188641,2013,770,42,4256,39948,39948,39948,39948,1960,535,0,2,2,0,10,7,60,16,2,54,2,5,-1,-2.32558139534884,-2144,-5.09360448541291,-1134,-2.76033299255148,-2144,-5.09360448541291,-1134,-2.76033299255148,-2144,-5.09360448541291,-1134,-2.76033299255148,-2144,-5.09360448541291,-1134,-2.76033299255148,0,0,-31,-42.4657534246575,75
"25",108807,2013,2755,55,4454,29319.5,35379,19154,24474,10885,1700,1,4,4,0,3,51,38,0,3,52,1,1.85185185185185,3,5.76923076923077,1023,5.64227014505543,1514,8.5827664399093,429.5,1.48667358947733,1530.5,5.50757493972435,1023,4.36228732250224,1514,6.59407665505227,834,2.41424229266175,2022.5,6.06328601621873,0,0,-15,-21.4285714285714,72
"26",161688,2013,1526,69,4394,20274,21474,20274,21474,3191,625,0,0,0,0,10,1,84,2,1,67,7,11.2903225806452,5,7.8125,764,3.91594054331112,2181,12.0543856740176,764,3.91594054331112,2181,12.0543856740176,794,3.8394584139265,2241,11.6518483855873,794,3.8394584139265,2241,11.6518483855873,0,0,14,25.4545454545455,51
"27",210669,2013,568,26,4080,52020,52020,49520,49520,2161,604,0,2,2,0,4,6,79,1,4,54,0,0,-8,-23.5294117647059,1870,3.92444910807975,3670,8.00436205016358,1870,3.72881355932203,3670,7.59048603929679,1870,3.92444910807975,3670,8.00436205016358,1870,3.72881355932203,3670,7.59048603929679,0,0,-61,-70.1149425287356,85
